name,version,location,github_url,curse_modid,curse_fileid,side,extra_folder
Storage Drawers,1.12.0,Github,https://github.com/GTNewHorizons/StorageDrawers/releases/download/1.12.0-GTNH/StorageDrawers-1.12.0-GTNH.jar,,,BOTH,
Tinkers Construct,1.10.5,Github,https://github.com/GTNewHorizons/TinkersConstruct/releases/download/1.10.5-GTNH/TConstruct-1.10.5-GTNH.jar,,,BOTH,
The Erebus,0.4.7,Curse,,220698,2305035,BOTH,
Thermal Dynamics,1.2.1-172,Curse,,227443,2388756,BOTH,
Thermal Expansion,4.1.5-248,Curse,,69163,2388758,BOTH,
Thermal Foundation,1.2.6-118,Curse,,222880,2388752,BOTH,
Thermal Singularities,1.2,Curse,,246473,2309489,BOTH,
Thermal Smeltery,1.3.1.4,Curse,,227661,2273687,BOTH,
TiConAutoToolStation,1.1.2,Curse,,237533,2293397,BOTH,
TiC Tooltips,1.2.11,Github,https://github.com/GTNewHorizons/TiC-Tooltips/releases/download/1.2.11/TiCTooltips-1.2.11.jar,,,BOTH,
Translocator,1.1.2.21,Github,https://github.com/GTNewHorizons/Translocators/releases/download/1.1.2.21/Translocator-1.1.2.21.jar,,,BOTH,
Tree Growing Simulator,0.0.3,Curse,,246764,2311156,BOTH,
UniDict,2.9.2,Curse,,244258,2329986,BOTH,
Universal Singularities,8.6.7,Github,https://github.com/GTNewHorizons/Universal-Singularities/releases/download/8.6.7/Universal-Singularities-8.6.7.jar,,,BOTH,
VeinMiner,rev496,Curse,,67133,2435506,BOTH,
WAILA,1.6.0,Github,https://github.com/GTNewHorizons/waila/releases/download/1.6.0/Waila-1.6.0.jar,,,BOTH,
WailaHarvestability,1.1.10,Github,https://github.com/GTNewHorizons/WailaHarvestability/releases/download/1.1.10-GTNH/WailaHarvestability-1.7.10-1.1.10-GTNH.jar,,,BOTH,
WAILAPlugins,0.3.0,Github,https://github.com/GTNewHorizons/WAILAPlugins/releases/download/0.3.0/WAILAPlugins-0.3.0.jar,,,BOTH,
WanionLib,1.8.4,Github,https://github.com/GTNewHorizons/WanionLib/releases/download/1.8.4/WanionLib-1.8.4.jar,,,BOTH,
Waterhooks,1.2.1,Curse,,236204,2297446,BOTH,
WAWLA,1.1.3,Github,https://github.com/GTNewHorizons/WAWLA/releases/download/1.1.3-GTNH/Wawla-1.7.10-1.1.3-GTNH.jar,,,BOTH,
Wireless Crafting Terminal,1.10.0,Github,https://github.com/GTNewHorizons/WirelessCraftingTerminal/releases/download/1.10.0/WirelessCraftingTerminal-1.10.0.jar,,,BOTH,
xprings,1.3.0,Curse,,243060,2360292,BOTH,
Ztones,2.2.1,Curse,,224369,2223720,BOTH,
